"Date","Price","Open","High","Low","Vol.","Change %"
"02/11/2022","240.00","244.60","245.00","238.00","1.22M","-1.64%"
"02/10/2022","244.00","242.80","244.00","239.20","959.82K","0.99%"
"02/09/2022","241.60","241.00","241.60","239.00","569.57K","0.67%"
"02/08/2022","240.00","236.00","240.80","235.20","363.96K","1.69%"
"02/07/2022","236.00","237.60","237.60","234.00","212.55K","-0.67%"
"02/04/2022","237.60","235.40","237.60","230.60","421.83K","1.11%"
"02/03/2022","235.00","244.40","244.40","235.00","299.26K","-3.85%"
"02/02/2022","244.40","239.80","245.00","239.40","691.72K","1.83%"
"01/31/2022","240.00","236.60","240.00","236.00","545.40K","1.44%"
"01/28/2022","236.60","231.00","236.60","230.20","693.64K","1.98%"
"01/27/2022","232.00","231.60","232.00","228.20","169.43K","0.00%"
"01/26/2022","232.00","232.00","232.20","227.00","564.05K","-0.34%"
"01/25/2022","232.80","229.00","233.00","228.20","554.18K","1.66%"
"01/24/2022","229.00","228.00","229.00","226.20","273.91K","-0.61%"
"01/21/2022","230.40","227.00","231.60","223.20","516.52K","0.61%"
"01/20/2022","229.00","230.00","230.00","228.00","205.18K","-0.61%"
"01/19/2022","230.40","228.80","230.40","225.40","465.29K","0.17%"
"01/18/2022","230.00","225.00","231.00","225.00","434.71K","2.22%"
"01/17/2022","225.00","229.00","229.00","225.00","221.50K","-1.75%"
"01/14/2022","229.00","229.00","231.00","226.00","378.25K","-0.69%"
"01/13/2022","230.60","222.00","230.80","221.80","1.10M","3.32%"
"01/12/2022","223.20","221.00","224.40","220.00","493.28K","1.27%"
"01/11/2022","220.40","222.00","222.80","216.00","692.03K","-1.08%"
"01/10/2022","222.80","214.00","222.80","214.00","849.06K","3.63%"
"01/07/2022","215.00","216.00","216.00","212.00","396.44K","-0.83%"
"01/06/2022","216.80","217.40","218.80","215.00","174.67K","-0.73%"
"01/05/2022","218.40","215.00","219.80","212.80","474.90K","1.58%"
"01/03/2022","215.00","216.00","221.60","213.40","398.63K","-0.65%"
"12/31/2021","216.40","222.60","222.80","216.40","621.95K","-2.96%"
"12/29/2021","223.00","218.00","223.80","217.00","372.40K","2.86%"
"12/28/2021","216.80","218.00","221.00","216.80","260.67K","-0.37%"
"12/27/2021","217.60","219.00","221.40","216.80","234.54K","-0.64%"
"12/24/2021","219.00","222.00","224.80","219.00","105.00K","-1.26%"
"12/23/2021","221.80","219.00","224.00","219.00","241.17K","1.28%"
"12/22/2021","219.00","209.20","219.00","209.20","903.83K","4.89%"
"12/21/2021","208.80","215.00","215.00","208.80","2.40M","-2.43%"
"12/20/2021","214.00","224.00","224.20","213.20","2.11M","-4.46%"
"12/17/2021","224.00","228.40","228.40","223.00","767.94K","0.45%"
"12/16/2021","223.00","223.60","228.00","222.80","1.42M","0.00%"
"12/15/2021","223.00","227.60","228.80","223.00","711.14K","-2.19%"
"12/14/2021","228.00","227.80","230.00","227.60","719.88K","0.09%"
"12/13/2021","227.80","233.00","234.80","226.00","593.52K","-2.32%"
"12/10/2021","233.20","238.80","238.80","232.60","428.28K","-2.59%"
"12/09/2021","239.40","232.00","239.40","229.00","532.78K","3.19%"
"12/07/2021","232.00","229.60","232.00","228.60","345.81K","2.20%"
"12/06/2021","227.00","223.20","231.80","223.20","803.35K","1.79%"
"12/03/2021","223.00","225.00","231.00","223.00","869.25K","-0.54%"
"12/02/2021","224.20","222.00","227.00","219.00","1.49M","1.36%"
"12/01/2021","221.20","236.00","238.00","218.80","2.33M","-5.87%"
"11/29/2021","235.00","233.00","240.00","225.00","1.63M","-3.61%"
"11/26/2021","243.80","244.60","244.80","241.40","357.87K","-0.65%"
"11/25/2021","245.40","246.00","246.60","244.00","505.87K","-1.05%"
"11/24/2021","248.00","244.60","251.00","243.20","615.08K","1.39%"
"11/23/2021","244.60","244.80","245.60","242.00","796.87K","-0.16%"
"11/22/2021","245.00","248.80","248.80","244.00","475.76K","-1.61%"
"11/19/2021","249.00","249.80","250.80","247.20","320.47K","-0.08%"
"11/18/2021","249.20","245.00","249.40","244.40","918.36K","1.38%"
"11/17/2021","245.80","245.20","246.40","243.20","649.96K","0.24%"
"11/16/2021","245.20","249.60","249.80","243.20","642.38K","-1.76%"
"11/15/2021","249.60","251.00","252.00","249.00","415.14K","-1.34%"
"11/12/2021","253.00","253.40","253.40","249.00","297.44K","-0.24%"
"11/11/2021","253.60","253.00","253.60","248.60","431.22K","-0.16%"
"11/10/2021","254.00","259.60","259.60","252.80","738.36K","-2.23%"
"11/09/2021","259.80","248.80","259.80","248.60","1.52M","4.51%"
"11/08/2021","248.60","244.00","248.80","243.80","701.86K","1.89%"
"11/05/2021","244.00","238.20","244.20","238.00","791.80K","2.52%"
"11/04/2021","238.00","232.60","238.60","231.20","436.00K","2.59%"
